,title,description,date,type,comp_short,data_exchange,data-price
0,Собрание акционеров TCS Group по «переезду» в Россию пройдет 15 января,"Собрание акционеров головной компании Тинькофф Банка, изначально назначенное на 8 января, перенесено на 15 января. Ожидалось, что на нем акционеры обсудят вопрос о редомициляции с Кипра в Россию","08 янв, 23:35",Новости,"['TCSG', 'IMOEX']","['1.0075069142631', '0.708']","['2556.5', '3158.58']"
1,Стоимость Brent упала ниже $77 после снижения Эр-Риядом официальных цен,"Накануне Саудовская Аравия снизила поставочные цены для Азии и некоторых других регионов на $1,5–2 за баррель. Утром рынок отреагировал падением фьючерсов Brent ниже $78. Позднее оно усилилось и цены ушли ниже $77","08 янв, 15:24",Новости,"['BRENT', 'LKOH', 'ROSN', 'BANE', 'NKNC', 'RNFT', 'SIBN', 'TATN', 'SNGS']","['-3.104', '-0.199', '-0.29', '-1.5089722675367', '-1.7429193899782', '0.806', '-1.205', '-0.29', '2.855']","['76.8', '6766.5', '602.3', '2415', '90.2', '137.6', '832.45', '722.9', '28.46']"
2,Акции Boeing упали на 9% после приостановки полетов модели 737 MAX 9,"Акции Boeing снижаютcя на 9% на премаркете. Ранее произошел инцидент с самолетом Boeing 737 MAX 9 авиакомпании Alaska Airlines, после чего авиационные власти США временно приостановили полеты этой модели","08 янв, 13:55",Новости,['BA'],['-0.80815855301135'],['154.65']
3,Стоимость Brent упала ниже $78 на фоне снижения цен Саудовской Аравией,"Накануне Саудовская Аравия снизила поставочные цены для Азии на $1,5–2 за баррель. Bloomberg отмечает, что это может быть признаком ослабления спроса в ключевом регионе потребления нефти","08 янв, 11:11",Новости,"['BRENT', 'LKOH', 'ROSN', 'BANE', 'NKNC', 'RNFT', 'SIBN', 'TATN', 'SNGS']","['-3.104', '-0.199', '-0.29', '-1.5089722675367', '-1.7429193899782', '0.806', '-1.205', '-0.29', '2.855']","['76.8', '6766.5', '602.3', '2415', '90.2', '137.6', '832.45', '722.9', '28.46']"
4,Какие облигации купить в 2024 году: 10 выпусков с высокой доходностью,Эксперты прогнозируют переток средств с рынка акций в облигации в 2024 году. Что будет с долговым рынком и какие бумаги интересны в этом сегменте в новом году — подробнее в материале «РБК Инвестиций»,"08 янв, 09:00",Инвестидеи,"['SU24021RMFS6', 'SU26212RMFS9']","['-0.099', '0.175']","['100.201', '862.51']"
5,Ожидания и реальность: cбылись ли прогнозы читателей РБК на конец 2023-го,"Летом 2023 года более чем 2,6 тыс. человек дали РБК свои прогнозы по доллару, акциям и ключевой ставке на конец года. Проверяем, в каких вопросах инвесторы оказались правы и где допустили ошибку","07 янв, 09:00",Новости,['IMOEX'],['-1.2236539627094'],['2754.25']
6,Топ-10 дивидендных российских акций за 5 лет. Рейтинг «РБК Инвестиций»,"Какие акции в течение пяти лет приносили высокую дивидендную доходность, показывая при этом устойчивый рост дивидендов и котировок, — в обзоре «РБК Инвестиций»","06 янв, 09:00",Подборки,"['BSPB', 'STSBP', 'RZSB', 'PHOR', 'SIBN', 'KAZTP', 'KAZT', 'LKOH', 'KRSB', 'KRSBP']","['-2.2068356734987', '-0.57692307692308', '0.32829940906106', '0.092250922509225', '-0.63210227272727', '-1.2645914396887', '-1.28', '-1.477020147702', '-1.3432835820896', '-0.60331825037707']","['354.51', '3.102', '30.56', '5425', '699.55', '507.5', '493.6', '6870.5', '13.22', '13.18']"
7,"В «Цифра брокер» предсказали ₽4,9 трлн дивидендов в 2024 году","Прогноз предполагает, что относительно уровня 2023 года общий объем дивидендов, которые российские компании выплатят в этом году, вырастет более чем на 75%. Потенциал роста индекса Мосбиржи эксперты оценили в 20%","05 янв, 14:17",Новости,"['USD', 'SNGS', 'BANE', 'IMOEX', 'MOEX']","['0.04476140609109', '0.272', '-1.5089722675367', '0.01', '-0.392']","['96.1079', '27.67', '2415', '3136.37', '193.08']"
8,Путин запретил арест счетов типа С. Что это значит для обмена активами,"Российские инвесторы не смогут требовать ареста и взыскания активов, заблокированных на счетах «С» и «И» нерезидентов. Станет ли это препятствием в судебных тяжбах с Euroclear и Clearstream, в разборе «РБК Инвестиций»","05 янв, 10:30",Что это значит,['USD'],['0.04476140609109'],['96.1079']
9,Джим Роджерс не будет участвовать в обмене заблокированными активами,"У иностранных инвесторов из недружественных стран заблокированы активы на Мосбирже. Джим Роджерс — не исключение. В интервью «РБК Инвестициям» он рассказал о том, что верит в эти инвестиции и продолжит держать бумаги","05 янв, 09:00",Новости,"['PHOR', 'MOEX', 'AFLT', 'AFKS']","['0.241', '-0.392', '0.43135783945987', '-0.628']","['6665', '193.08', '53.55', '16.311']"
